Start Date,End Date,Duration (days),Peak Equity,Trough Equity,Max Drawdown,Max Drawdown %
2017-05-02,2017-05-10,8,10161.079007536291,9792.330956342368,-0.036290245447400726,-3.629024544740073
2017-05-17,2017-05-22,5,13035.79733884818,12169.666759998863,-0.06644247040172589,-6.644247040172589
2019-01-28,2019-07-11,164,14544.444523519416,11951.59994253589,-0.17827044386540233,-17.827044386540233
2019-07-25,2021-03-01,585,15817.84151305997,15639.976198517732,-0.011244600876509196,-1.1244600876509196
2022-03-30,2025-05-13,1140,17067.0509666434,8653.882103875003,-0.4929480130581122,-49.29480130581122
