Entry Date,Exit Date,Type,Entry Price,Exit Price,Position Size,Entry Cost,Exit Proceeds,Dividends,Borrowing Costs,P&L,P&L %,MAE,MAE %,MFE,MFE %,Max Drawdown %,Max Drawdown $,Duration (days),Equity Peak During Trade
2017-05-01,2017-05-22,LONG,2.5881499954745726,3.3943105713279795,4250.14006886529,11000.0,14426.295365374082,14.875490241028515,1.435484541612408,3439.7353710734988,31.270321555213627,-228.43594802339487,-2.076690436576317,3339.3770727329984,30.357973388481803,-7.143672463495701,-952.839381465088,21,13338.228849854399
2019-01-17,2019-02-26,LONG,3.6647929980835277,3.922112688232317,4124.617104376351,15115.867883894005,16177.213079174524,0.0,5.540107565880663,1055.8050877146384,6.984746729889069,-1657.272710057304,-10.963794621565409,1262.5075479764396,8.352200202289705,-19.464239295244408,-2920.2060243609994,40,15002.92911562425
2019-07-03,2019-07-25,LONG,4.062664861360894,4.389168674756776,4037.084770170243,16401.322438105868,17719.44601056889,0.0,3.4650703241092162,1314.6585021389112,8.015564032108234,-630.6188156315802,-3.8449266393692594,1521.1665863889373,9.27465813887512,-4.2340628790235195,-695.5716228886196,22,16427.994641615613
2022-03-21,2022-08-15,LONG,26.51615000065611,18.63672016011017,680.828660282013,18052.954880783596,12688.413218658588,2.7233146411280518,16.9129243273729,-5378.731271811253,-29.794187751151053,-8179.521909228325,-45.308493613613294,1424.6496954100296,7.8915042153375845,-53.887023837876335,-9611.101884463007,147,17835.65170230744
2022-11-01,2022-11-16,LONG,13.822794179515476,16.111228339873055,882.7112508303154,12201.53594017011,14221.56252030217,0.0,2.5591922273766303,2017.4673879046836,16.534536289507145,-546.3205522264163,-4.477473614021086,2492.903810280632,20.43106558473061,-6.1927922825309425,-841.1453020907666,15,13582.6500182079
2025-04-28,2025-05-16,LONG,109.9017474182809,135.93812379229215,146.9973419393593,16155.264744978136,19982.542865690524,0.0,4.763987750841627,3822.5141329615462,23.66110486768578,-173.35354816081778,-1.0730467800888546,3737.973285891432,23.137802721885947,-1.182664950161233,-217.84870995471948,18,18420.154408484002
