Date,Equity,Peak,Drawdown,Drawdown_Pct
2015-08-31,10000.0,10000.0,0.0,0.0
2015-09-01,10000.0,10000.0,0.0,0.0
2015-09-02,10000.0,10000.0,0.0,0.0
2015-09-03,10000.0,10000.0,0.0,0.0
2015-09-04,10000.0,10000.0,0.0,0.0
2015-09-08,10000.0,10000.0,0.0,0.0
2015-09-09,10000.0,10000.0,0.0,0.0
2015-09-10,10000.0,10000.0,0.0,0.0
2015-09-11,10000.0,10000.0,0.0,0.0
2015-09-14,10000.0,10000.0,0.0,0.0
2015-09-15,10000.0,10000.0,0.0,0.0
2015-09-16,10000.0,10000.0,0.0,0.0
2015-09-17,10000.0,10000.0,0.0,0.0
2015-09-18,10000.0,10000.0,0.0,0.0
2015-09-21,10000.0,10000.0,0.0,0.0
2015-09-22,10000.0,10000.0,0.0,0.0
2015-09-23,10000.0,10000.0,0.0,0.0
2015-09-24,10000.0,10000.0,0.0,0.0
2015-09-25,10000.0,10000.0,0.0,0.0
2015-09-28,10000.0,10000.0,0.0,0.0
2015-09-29,10000.0,10000.0,0.0,0.0
2015-09-30,10000.0,10000.0,0.0,0.0
2015-10-01,10000.0,10000.0,0.0,0.0
2015-10-02,10000.0,10000.0,0.0,0.0
2015-10-05,10000.0,10000.0,0.0,0.0
2015-10-06,10000.0,10000.0,0.0,0.0
2015-10-07,10000.0,10000.0,0.0,0.0
2015-10-08,10000.0,10000.0,0.0,0.0
2015-10-09,10000.0,10000.0,0.0,0.0
2015-10-12,10000.0,10000.0,0.0,0.0
2015-10-13,10000.0,10000.0,0.0,0.0
2015-10-14,10000.0,10000.0,0.0,0.0
2015-10-15,10000.0,10000.0,0.0,0.0
2015-10-16,10000.0,10000.0,0.0,0.0
2015-10-19,10000.0,10000.0,0.0,0.0
2015-10-20,10000.0,10000.0,0.0,0.0
2015-10-21,10000.0,10000.0,0.0,0.0
2015-10-22,10000.0,10000.0,0.0,0.0
2015-10-23,10000.0,10000.0,0.0,0.0
2015-10-26,10000.0,10000.0,0.0,0.0
2015-10-27,10000.0,10000.0,0.0,0.0
2015-10-28,10000.0,10000.0,0.0,0.0
2015-10-29,10000.0,10000.0,0.0,0.0
2015-10-30,10000.0,10000.0,0.0,0.0
2015-11-02,10000.0,10000.0,0.0,0.0
2015-11-03,10000.0,10000.0,0.0,0.0
2015-11-04,10000.0,10000.0,0.0,0.0
2015-11-05,10000.0,10000.0,0.0,0.0
2015-11-06,10000.0,10000.0,0.0,0.0
2015-11-09,10000.0,10000.0,0.0,0.0
2015-11-10,10000.0,10000.0,0.0,0.0
2015-11-11,10000.0,10000.0,0.0,0.0
2015-11-12,10000.0,10000.0,0.0,0.0
2015-11-13,10000.0,10000.0,0.0,0.0
2015-11-16,10000.0,10000.0,0.0,0.0
2015-11-17,10000.0,10000.0,0.0,0.0
2015-11-18,10000.0,10000.0,0.0,0.0
2015-11-19,10000.0,10000.0,0.0,0.0
2015-11-20,10000.0,10000.0,0.0,0.0
2015-11-23,10000.0,10000.0,0.0,0.0
2015-11-24,10000.0,10000.0,0.0,0.0
2015-11-25,10000.0,10000.0,0.0,0.0
2015-11-27,10000.0,10000.0,0.0,0.0
2015-11-30,10000.0,10000.0,0.0,0.0
2015-12-01,10000.0,10000.0,0.0,0.0
2015-12-02,10000.0,10000.0,0.0,0.0
2015-12-03,10000.0,10000.0,0.0,0.0
